Dosja,Arkiva,Fondi,Viti,Dosja,Faqja,Titulli,Anglisht,Citimi ,Shenime,,,,
14_1950_21,AQSH,14-APOU,1950,21,7-8,"K. Q. i P.P.Sh, Byroja Politike. Decree No. 11. Mbi bursat dhe konviktet e shtetit.","Decree of Politburo, No. 11. On the government's scholarship and dormitories","AQSH, F.14-APOU, V.1950, D.21, Fl.7-8. Document title: K. Q. i P.P.Sh, Byroja Politike. Decree No. 11. Mbi bursat dhe konviktet e shtetit.[Decree of Politburo, No. 11. On the government's scholarship and dormitories.]",,,,,
14_1950_21,AQSH,14-APOU,1950,21,24,"Protokoll i mbledhjes se Byrose Politike te K. Q. te P. P. SH., Nr. 6, dt. 30.1.1950","Meeting minutes of the Politburo. No. 6, 30.01.1950.","AQSH, F.14-APOU, V.1950, D.21, Fl.24. Document title: Protokoll i mbledhjes se Byrose Politike te K. Q. te P. P. SH., Nr. 6, dt. 30.1.1950[Meeting minutes of the Politburo. No. 6, 30.01.1950..]",,,,,
511/951/111,AQSH,511,1951,111-Shtese,2,"Ministria e Arsimit dhe Kultures drejtuar Ministrise se Tregtise. Dt. 26.10.1950. ""Triskat per pedagoget Sovjetike"".","Ministry of Education and Culture to Ministry of Commerce. Dt. 26.10.1950. ""Ration coupons for Soviet teachers"".","AQSH, F.511, V.1951, D.111-Shtese, Fl.2. Document title: Ministria e Arsimit dhe Kultures drejtuar Ministrise se Tregtise. Dt. 26.10.1950. ""Triskat per pedagoget Sovjetike"".[Ministry of Education and Culture to Ministry of Commerce. Dt. 26.10.1950. ""Ration coupons for Soviet teachers""..]",,,,,
511_1951_20,AQSH,511,1951,20,10,"Keshilli i Ministrave. Vendim Nr. 800, 20.10.1951","Decree of Council of Ministers No. 800, 20.10.1951","AQSH, F.511, V.1951, D.20, Fl.10. Document title: Keshilli i Ministrave. Vendim Nr. 800, 20.10.1951[Decree of Council of Ministers No. 800, 20.10.1951.]",,,,,
511/14_1951_32,AQSH,14-APOU,1951,32,43,KQ i PPSH. Relacion mbi Studentet Universitare. n.d,Central Committee of the Party: Report on University Students. n.d.,"AQSH, F.14-APOU, V.1951, D.32, Fl.43. Document title: KQ i PPSH. Relacion mbi Studentet Universitare. n.d[Central Committee of the Party: Report on University Students. n.d..]",,,,,
511/14_1951_32,AQSH,14-APOU,1951,32,32,Byroja Politike. Vendim Nr. 411. Mbi Studentet Universitare Jashte Shtetit,Politburo Decree No. 411. On the Outgoing Students. ,"AQSH, F.14-APOU, V.1951, D.32, Fl.32. Document title: Byroja Politike. Vendim Nr. 411. Mbi Studentet Universitare Jashte Shtetit[Politburo Decree No. 411. On the Outgoing Students. .]",,,,,
511/14_1951_33,AQSH,14-APOU,1951,32,58-61,Vendim Nr. 412 i Byrose Politike te KQ. Platforme per Kuadrot e Aparateve te Partise,Politburo of the Central Committee. Decree No. 412. Framework for the Cadets of the Party Apparatus,"AQSH, F.14-APOU, V.1951, D.32, Fl.58-61. Document title: Vendim Nr. 412 i Byrose Politike te KQ. Platforme per Kuadrot e Aparateve te Partise[Politburo of the Central Committee. Decree No. 412. Framework for the Cadets of the Party Apparatus.]",,,,,
14_1951_76,AQSH,14-APOU,1951,76,7-8,"Vendim i Byrose Politike te KQ. Nr. 328, 05.06.1951, Mbi rezerven e kuadrit","Decree of the Politburo, Nr. 328. On the reserve cadre. ","AQSH, F.14-APOU, V.1951, D.76, Fl.7-8. Document title: Vendim i Byrose Politike te KQ. Nr. 328, 05.06.1951, Mbi rezerven e kuadrit[Decree of the Politburo, Nr. 328. On the reserve cadre. .]",,,,,
511_1951_76,AQSH,511,1951,76,1-2,Vrejtje te Byrose Politike ne daten 29/4/1951 per hapjen e instituteve te larta. Dt. 02.07.1951,Remarks of the Politburo on 29/4/1951 for the establishment of higher education institutes. 02.07.1951,"AQSH, F.511, V.1951, D.76, Fl.1-2. Document title: Vrejtje te Byrose Politike ne daten 29/4/1951 per hapjen e instituteve te larta. Dt. 02.07.1951[Remarks of the Politburo on 29/4/1951 for the establishment of higher education institutes. 02.07.1951.]",,,,,
511_1951_77,AQSH,511,1951,76,3,"Vrejtje te Byrose Politike ne daten 8/VI/1951, per Studentet Jashte Shtetit. Dt. 11*6/1951","Remarks of the Politburo on 8/VI/1951, for the students abroad. 11/6/1951","AQSH, F.511, V.1951, D.76, Fl.3. Document title: Vrejtje te Byrose Politike ne daten 8/VI/1951, per Studentet Jashte Shtetit. Dt. 11*6/1951[Remarks of the Politburo on 8/VI/1951, for the students abroad. 11/6/1951.]",,,,,
511_1951_20,AQSH,511,1951,20,20,Relacion mbi celjen e instituteve te larta,Report on the opening of the higher education institutes,"AQSH, F.511, V.1951, D.20, Fl.20. Document title: Relacion mbi celjen e instituteve te larta[Report on the opening of the higher education institutes.]",,,,,
14_1951_85,AQSH,14-APOU,1951,85,24,Mbi perjashtimin nga Partia te 4 anetareve qe kane qene jashte shtetit.,On the expulsion from the Party of 4 members who have been abroad,"AQSH, F.14-APOU, V.1951, D.85, Fl.24. Document title: Mbi perjashtimin nga Partia te 4 anetareve qe kane qene jashte shtetit.[On the expulsion from the Party of 4 members who have been abroad.]",,,,,
14_1951_85,AQSH,14-APOU,1951,85,29,"PPSH. Sekretariati i K. Q. Vendim Nr. 538, dt. 20.7.1951.","Decision of Albanian Party of Labor, Secretary of Central Committee. No. 538, 20.07.1951.","AQSH, F.14-APOU, V.1951, D.85, Fl.29. Document title: PPSH. Sekretariati i K. Q. Vendim Nr. 538, dt. 20.7.1951.[Decision of Albanian Party of Labor, Secretary of Central Committee. No. 538, 20.07.1951..]",,,,,
14_1951_84,AQSH,14-APOU,1951,84,67,Mbi prerjen e bursave disa studentave qe studiojne jashte shtetit,On the cancelation of the scholarships of some students studying abroad,"AQSH, F.14-APOU, V.1951, D.84, Fl.67. Document title: Mbi prerjen e bursave disa studentave qe studiojne jashte shtetit[On the cancelation of the scholarships of some students studying abroad.]",,,,,
495_1951_1611,AQSH,495,1951,1611,27-28,"Ministri i Arsimit, K. Ylli, derguar Kryeministrise. ""Raport mbi gjendjen e teknikeve te larte e te mesem te shtetit."" Dt. 13.5.1951","Minister of Education, K. Ylli, to Council of Ministers. ""Report on the state of the high and middle level technicians."" 13 May 1981","AQSH, F.495, V.1951, D.1611, Fl.27-28. Document title: Ministri i Arsimit, K. Ylli, derguar Kryeministrise. ""Raport mbi gjendjen e teknikeve te larte e te mesem te shtetit."" Dt. 13.5.1951[Minister of Education, K. Ylli, to Council of Ministers. ""Report on the state of the high and middle level technicians."" 13 May 1981.]",,,,,
511_1952_17,AQSH,511,1952,17,29,Studentet shqiptare qe ndodhen jashte dhe ata qe kane kryer studimet 1952-1953,"Albanian students abroad and those that have graduated, 1952-53","AQSH, F.511, V.1952, D.17, Fl.29. Document title: Studentet shqiptare qe ndodhen jashte dhe ata qe kane kryer studimet 1952-1953[Albanian students abroad and those that have graduated, 1952-53.]",,,,,
511_1952_17,AQSH,511,1952,17,31,,,"AQSH, F.511, V.1952, D.17, Fl.31. Document title: [.]",,,,,
490_1952_1324,AQSH,490,1952,1324,1,"Vendim i Keshillit te Ministrave, Nr. 444, dt. 5.7.1952. Mbi dhenie ndihme familjeve te punonjesve qe ndodhen jashte shtetit per studime","Decree of Council of Ministers No. 444,5.07.1952. On financial assistance for the families of the students abroad. ","AQSH, F.490, V.1952, D.1324, Fl.1. Document title: Vendim i Keshillit te Ministrave, Nr. 444, dt. 5.7.1952. Mbi dhenie ndihme familjeve te punonjesve qe ndodhen jashte shtetit per studime[Decree of Council of Ministers No. 444,5.07.1952. On financial assistance for the families of the students abroad. .]",,,,,
490_1952_1325,AQSH,490,1952,1325,9,Ministria e Financave derguar Ministrise se Arsimit. 06.11.1952. (Sekret),"Ministry of Finance to Ministry of Education, 06 November 1952.","AQSH, F.490, V.1952, D.1325, Fl.9. Document title: Ministria e Financave derguar Ministrise se Arsimit. 06.11.1952. (Sekret)[Ministry of Finance to Ministry of Education, 06 November 1952..]",,,,,
490_1952_1335,AQSH,490,1952,1335,2,"Ministria e Financave derguar Kryeministrise, dt. 26.6.1952",Ministry of Finance to the Prime Ministry. 26.6.1952,"AQSH, F.490, V.1952, D.1335, Fl.2. Document title: Ministria e Financave derguar Kryeministrise, dt. 26.6.1952[Ministry of Finance to the Prime Ministry. 26.6.1952.]",,,,,
